"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.715037875E0,-1.339714050E-1,2.794688416E0,1.027059219E1
2.724969875E0,-1.496887207E-1,2.731519775E0,1.046129562E1
2.734902875E0,-2.520758057E-1,2.679727478E0,1.073402847E1
2.744834875E0,-3.600013733E-1,2.632276154E0,1.094134735E1
2.754767875E0,-4.315525818E-1,2.593057709E0,1.100182159E1
2.764700875E0,-5.786965942E-1,2.585423584E0,1.104583008E1
2.774632875E0,-6.583309937E-1,2.588866425E0,1.128503265E1
2.784565875E0,-6.953041077E-1,2.577190704E0,1.147528702E1
2.794497875E0,-6.753955078E-1,2.566263428E0,1.149504593E1
2.804430875E0,-7.405101013E-1,2.469115448E0,1.154010223E1
2.814363875E0,-7.610174561E-1,2.350412292E0,1.160506714E1
2.824295875E0,-7.209008789E-1,2.147883453E0,1.163710052E1
2.834228875E0,-5.694158936E-1,1.901795197E0,1.160297150E1
2.844160875E0,-5.260061646E-1,1.666783905E0,1.154219788E1
2.854093875E0,-5.114863586E-1,1.525477753E0,1.149863846E1
2.864025875E0,-4.770579529E-1,1.482666779E0,1.122755219E1
2.873958875E0,-5.325924683E-1,1.598825226E0,1.073777069E1
2.883891875E0,-6.785389709E-1,1.828298035E0,1.017389328E1
2.893823875E0,-8.225395203E-1,1.856589203E0,9.687255249E0
2.903756875E0,-9.705816650E-1,1.856289825E0,9.380992126E0
2.913688875E0,-1.038240967E0,1.851050720E0,9.324409790E0
2.923621875E0,-1.131646729E0,1.833836517E0,9.291927338E0
2.933553875E0,-1.147513733E0,1.859882355E0,9.295519867E0
2.943486875E0,-1.183738403E0,1.835034027E0,9.417216797E0
2.953419875E0,-1.161584473E0,1.775906982E0,9.606273651E0
2.963351875E0,-1.027463379E0,1.724863129E0,9.684411163E0
2.973284875E0,-8.282276917E-1,1.668280792E0,9.593400421E0
2.983216875E0,-5.954617310E-1,1.561702423E0,9.383387146E0
2.993149875E0,-3.664379883E-1,1.433419189E0,9.163943481E0
3.003081875E0,-1.904040527E-1,1.364263000E0,8.915909271E0
3.013014875E0,-9.699829102E-2,1.340911560E0,8.713230743E0
3.022947875E0,-4.041595459E-2,1.296603699E0,8.643775177E0
3.032879875E0,-2.544708252E-3,1.330283661E0,8.605754242E0
3.042812875E0,1.332229614E-2,1.472637634E0,8.391399994E0
3.052744875E0,-7.095245361E-2,1.598825226E0,8.242759094E0
3.062677875E0,-1.984872437E-1,1.686093750E0,8.202941895E0
3.072610875E0,-2.061213684E-1,1.782193909E0,8.173902283E0
3.082542875E0,-1.038839722E-1,1.832339630E0,8.152047729E0
3.092475875E0,3.038681030E-2,1.760938110E0,8.162825317E0
3.102407875E0,1.231938171E-1,1.692380676E0,8.130941620E0
3.112340875E0,1.471440125E-1,1.681004333E0,8.165968781E0
3.122272875E0,1.155596924E-1,1.720971222E0,8.262967072E0
3.132205875E0,7.170089722E-2,1.845512238E0,8.292006683E0
3.142138875E0,-1.407073975E-2,1.978136444E0,8.308921509E0
3.152070875E0,-8.592132568E-2,2.044448547E0,8.316555634E0
3.162003875E0,-9.595046997E-2,2.032024384E0,8.282725983E0
3.171935875E0,-8.936416626E-2,2.012265472E0,8.285270691E0
3.181868875E0,-6.406677246E-2,2.026336212E0,8.342302094E0
3.191800875E0,-6.466552734E-2,2.091301117E0,8.348139954E0
3.201733875E0,-3.442840576E-2,2.144440613E0,8.393795013E0
3.211666875E0,-1.930984497E-2,2.209555206E0,8.478518829E0
3.221598875E0,1.646575928E-3,2.295775909E0,8.567733307E0
3.231531875E0,-2.724334717E-2,2.343077545E0,8.665180664E0
3.241463875E0,-4.730163574E-2,2.378104706E0,8.821156311E0
3.251396875E0,-1.960922241E-2,2.415526886E0,8.978479156E0
3.261328875E0,1.886077881E-2,2.420616302E0,9.151519318E0
3.271261875E0,2.993774414E-3,2.414329376E0,9.323212280E0
3.281194875E0,-3.772155762E-2,2.416425018E0,9.469757538E0
3.291126875E0,-6.062393188E-2,2.420316925E0,9.603429565E0
3.301059875E0,-8.352630615E-2,2.392474823E0,9.723629608E0
3.310991875E0,-1.061293030E-1,2.372865601E0,9.808203735E0
3.320924875E0,-1.329235840E-1,2.319127350E0,9.936187592E0
3.330857875E0,-1.210981750E-1,2.197280731E0,1.018003052E1
3.340789875E0,-1.215472412E-1,2.124382324E0,1.032208511E1
3.350722875E0,-1.907034302E-1,2.103425903E0,1.044767395E1
3.360654875E0,-3.085084534E-1,2.069745941E0,1.058568695E1
3.370587875E0,-4.143383789E-1,2.025138702E0,1.079285614E1
3.380519875E0,-4.085005188E-1,1.965412903E0,1.105121887E1
3.390452875E0,-3.058140564E-1,1.865720215E0,1.128323639E1
3.400385875E0,-1.784289551E-1,1.725162506E0,1.146495850E1
3.410317875E0,-3.562591553E-2,1.646575928E0,1.153980286E1
3.420250875E0,1.121168518E-1,1.567540283E0,1.149295029E1
3.430182875E0,2.456391907E-1,1.466949463E0,1.145163620E1
3.440115875E0,4.453239441E-1,1.377136230E0,1.143412262E1
3.450048875E0,5.724096680E-1,1.359622650E0,1.132574799E1
3.459980875E0,6.294410706E-1,1.445394287E0,1.128757736E1
3.469913875E0,6.303392029E-1,1.582509155E0,1.134415970E1
3.479845875E0,5.408253479E-1,1.701362000E0,1.142109970E1
3.489778875E0,5.047503662E-1,1.742227020E0,1.151495453E1
3.499710875E0,5.083428955E-1,1.708247681E0,1.158575729E1
3.509643875E0,5.737568665E-1,1.575473785E0,1.170595734E1
3.519576875E0,7.575746155E-1,1.383423157E0,1.176807816E1
3.529508875E0,9.119036865E-1,1.150806885E0,1.170880142E1
3.539441875E0,1.017733612E0,9.301657104E-1,1.158246414E1
3.549373875E0,1.090482330E0,6.963519287E-1,1.126362717E1
3.559306875E0,1.096619568E0,5.360353088E-1,1.082773361E1
3.569238875E0,1.082099762E0,4.129911804E-1,1.039767792E1
3.579171875E0,1.054706726E0,2.766247559E-1,1.004665787E1
3.589104875E0,9.630972290E-1,1.919009399E-1,9.808054047E0
3.599036875E0,8.443940735E-1,2.408491516E-1,9.720037079E0
3.608969875E0,7.177574158E-1,3.960763550E-1,9.677974548E0
3.618901875E0,5.876779175E-1,5.637277222E-1,9.601184235E0
3.628834875E0,4.881349182E-1,6.968009949E-1,9.492210846E0
3.638767875E0,4.637356567E-1,7.866142273E-1,9.298962708E0
3.648699875E0,4.775070190E-1,8.545729065E-1,8.964558105E0
3.658632875E0,4.992118835E-1,8.563691711E-1,8.645870819E0
3.668564875E0,5.514532471E-1,8.357121277E-1,8.358318787E0
3.678497875E0,5.414241028E-1,8.312214661E-1,8.145012360E0
3.688429875E0,4.831951904E-1,8.846603394E-1,7.974067841E0
3.698362875E0,3.809577942E-1,9.692344666E-1,7.833510132E0
3.708295875E0,2.567161560E-1,1.047072601E0,7.748636627E0
3.718227875E0,1.737886047E-1,1.122665405E0,7.626939697E0
3.728160875E0,1.347198486E-1,1.185235291E0,7.465425568E0
3.738092875E0,1.275347900E-1,1.248553619E0,7.376510468E0
3.748025875E0,1.091230774E-1,1.325643311E0,7.339387665E0
3.757958875E0,5.074447632E-2,1.414708099E0,7.361092529E0
3.767890875E0,-1.197509766E-2,1.483115845E0,7.435338135E0
3.777823875E0,3.891906738E-2,1.529968414E0,7.534881134E0
3.787755875E0,1.239422607E-1,1.589694214E0,7.586673431E0
3.797688875E0,2.201921082E-1,1.602118378E0,7.653733978E0
3.807620875E0,3.347039795E-1,1.615889740E0,7.820936279E0
3.817553875E0,4.366419983E-1,1.641785889E0,8.047115936E0
3.827486875E0,5.328918457E-1,1.683998108E0,8.255033569E0
3.837418875E0,6.225553894E-1,1.723815308E0,8.400830383E0
3.847351875E0,6.665638733E-1,1.730102234E0,8.520132294E0
3.857283875E0,7.500901794E-1,1.751507721E0,8.594527588E0
3.867216875E0,8.156538391E-1,1.791175232E0,8.707542572E0
3.877148875E0,8.713380432E-1,1.850601654E0,8.792266388E0
3.887081875E0,9.228309631E-1,1.895957336E0,8.852890320E0
3.897014875E0,9.559121704E-1,1.925446014E0,8.902736664E0
3.906946875E0,9.162446594E-1,2.000889130E0,9.002129974E0
3.916879875E0,8.506809998E-1,2.149230652E0,9.139693909E0
3.926811875E0,7.746391296E-1,2.297272797E0,9.360933838E0
3.936744875E0,6.631210327E-1,2.409090271E0,9.647737427E0
3.946677875E0,5.857319641E-1,2.471660156E0,9.894125061E0
3.956609875E0,5.691165161E-1,2.512974243E0,1.007030869E1
3.966542875E0,5.923182678E-1,2.484832764E0,1.022718246E1
3.976474875E0,6.375242615E-1,2.384391632E0,1.037387741E1
3.986407875E0,6.839277649E-1,2.279160461E0,1.054542068E1
3.996339875E0,7.084767151E-1,2.190245361E0,1.083222427E1
4.006272875E0,6.759942627E-1,2.087558899E0,1.120988892E1
4.016205875E0,6.167175293E-1,2.031126251E0,1.151390671E1
4.026137875E0,5.071453857E-1,2.031126251E0,1.175355835E1
