"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.602053875E0,3.737868965E-1,-2.158376575E-2,-7.741864305E-3
2.611986875E0,3.692010045E-1,-7.048951089E-2,3.868057858E-3
2.621918875E0,3.606016636E-1,-8.841151744E-2,4.369797185E-3
2.631851875E0,3.362054229E-1,-7.419847697E-2,-3.310308093E-3
2.641783875E0,2.841486037E-1,-5.012963340E-2,-2.127812430E-2
2.651716875E0,2.193330526E-1,-2.229694650E-2,-4.239899293E-2
2.661649875E0,1.578984559E-1,1.088004559E-3,-5.787648633E-2
2.671581875E0,1.091520861E-1,-2.063354477E-3,-5.916285515E-2
2.681514875E0,8.787582815E-2,-7.018697914E-3,-3.886157647E-2
2.691446875E0,7.560648769E-2,8.704189211E-3,-3.753769677E-3
2.701379875E0,5.256028846E-2,2.446504310E-2,8.128723130E-3
2.711311875E0,2.542778477E-2,5.190806091E-2,-7.976871915E-3
2.721244875E0,-8.627919480E-3,8.339940757E-2,-2.528741956E-2
2.731177875E0,-4.244312271E-2,1.017544195E-1,-4.702952132E-2
2.741109875E0,-4.830394313E-2,1.114406064E-1,-4.132503271E-2
2.751042875E0,-1.934045367E-2,1.080053672E-1,-1.424008748E-3
2.760974875E0,3.427377343E-2,8.240173757E-2,5.636365712E-2
2.770907875E0,7.745292038E-2,2.392736636E-2,1.160923466E-1
2.780839875E0,1.162671596E-1,-2.281510830E-2,1.687659472E-1
2.790772875E0,1.617065370E-1,-3.568751737E-2,2.080398798E-1
2.800705875E0,1.997617781E-1,-5.365453288E-2,2.296026945E-1
2.810637875E0,2.188220322E-1,-8.989560604E-2,2.329867482E-1
2.820570875E0,2.137274146E-1,-1.297138631E-1,2.366800159E-1
2.830502875E0,1.789846420E-1,-1.566579342E-1,2.300510406E-1
2.840435875E0,1.028493866E-1,-1.508506536E-1,2.115505934E-1
2.850368875E0,4.843748175E-4,-1.300204396E-1,1.961610466E-1
